,ID,location_name,lat,long,location_name_Initial
10704,10629046,BICIAB // Agence Prestige,12.362589999999999,-1.51819,B
10703,10629040,BICIAB // Banfora,10.64225,-4.76269,B
10705,10629050,BICIAB // Bobo Dioulasso,11.17516,-4.30162,B
10715,10629065,BICIAB // Bobo2,11.1664,-4.24132,B
10707,10629057,BICIAB // Dédougou,12.462810000000001,-3.4608199999999996,B
10713,10629063,BICIAB // Fada Ngourma,12.05989,0.36019,B
10701,10629032,BICIAB // Gounghin,12.359210000000001,-1.54273,B
10710,10629060,BICIAB // Koudougou,12.25165,-2.3635599999999997,B
10709,10629059,BICIAB // Koupéla,12.18148,-0.35370999999999997,B
10711,10629061,BICIAB // Loudun,12.36492,-1.5200799999999999,B
10716,10629066,BICIAB // Ouaga 2000,12.31428,-1.52901,B
10706,10629056,BICIAB // Ouahigouya,13.573329999999999,-2.4173400000000003,B
10714,10629064,BICIAB // Pissy,12.34227,-1.57276,B
10702,10629037,BICIAB // Pouytenga,12.24591,-0.42954,B
10718,10629068,BICIAB // Tampouy,12.38963,-1.57645,B
10712,10629062,BICIAB // Tenkogodo,11.7817,-0.36808,B
10717,10629067,BICIAB // Wayalghin,12.39701,-1.46854,B
10708,10629058,BICIAB // Zogona,12.37605,-1.49363,B
10821,11911409,Ba,12.406789999999999,-1.8267900000000001,B
9915,2363151,Ba,13.3565,-4.02,B
9422,2362653,Ba Yangasso,12.03333,-3.2833300000000003,B
9913,2363149,Baagou,14.21711,-1.41008,B
9912,2363148,Babanloua,12.03333,0.51667,B
9911,2363147,Babayaga,14.166670000000002,0.25,B
9902,2363138,Babila,13.183329999999998,-0.2878,B
9901,2363137,Babiou,10.3,-2.86667,B
9900,2363136,Babirka,13.807229999999999,-0.15631,B
9904,2363140,Babié,10.68333,-3.01667,B
9903,2363139,Babiétéoun,9.81667,-2.75,B
9899,2363135,Babo,13.843539999999999,-1.9029599999999998,B
9898,2363134,Babolo,10.08333,-4.566669999999999,B
9896,2363132,Babonga,13.1065,0.59223,B
9895,2363131,Babongou,13.444360000000001,0.8963200000000001,B
9894,2363130,Babou,12.88846,-1.60991,B
9893,2363129,Babouadi,12.98333,0.43333,B
9892,2363128,Baboura,10.06667,-3.85,B
9891,2363127,Babourou,10.1,-4.35,B
9910,2363146,Babé,12.71291,-1.49363,B
9909,2363145,Babé,10.28333,-4.0166699999999995,B
9908,2363144,Babéden,12.91667,-0.46667,B
9907,2363143,Babédo,11.98333,-1.58333,B
9906,2363142,Babéré,12.95,0.06667000000000001,B
9905,2363141,Babéréké,13.148539999999999,-1.03455,B
9890,2363126,Bada,13.147670000000002,0.38736,B
9889,2363125,Badabiessan,11.05,-0.9333299999999999,B
9888,2363124,Badala,11.38551,-4.36295,B
9887,2363123,Badalougou,12.8,-0.21666999999999997,B
9860,2363096,Badano,13.75583,-2.1221400000000004,B
9886,2363122,Badara,10.46667,-5.08333,B
9885,2363121,Badara,10.78333,-3.81667,B
9882,2363118,Badema,11.64701,-4.25823,B
9881,2363117,Badet,10.45,-4.1,B
9879,2363115,Badinga,12.08194,0.6837,B
9878,2363114,Badinga,12.3527,-4.1995,B
9877,2363113,Badini,10.63333,-5.16667,B
9875,2363111,Badinogo,13.3378,-1.59762,B
9876,2363112,Badinogo,12.58333,-0.7,B
9874,2363110,Badinogo,13.428429999999999,-1.5398399999999999,B
9873,2363109,Badinogou,14.0551,-1.64733,B
9880,2363116,Badiéré,11.2,-3.16667,B
10977,11948931,Badnogo,12.695,-1.4590100000000001,B
9872,2363108,Badnogo,11.88333,-1.41667,B
9871,2363107,Badnogo,12.13333,-0.5,B
9868,2363104,Badnogo,12.96667,-0.5,B
9869,2363105,Badnogo I,12.46903,-1.29979,B
9870,2363106,Badnogo II,12.27074,-1.36982,B
9867,2363103,Badnongo,13.59939,-0.8696299999999999,B
9866,2363102,Bado,11.63333,-0.45,B
9865,2363101,Bado,12.5,0.6,B
9864,2363100,Badongo,11.11667,-1.16667,B
9863,2363099,Badongo,11.18333,-0.96667,B
9862,2363098,Badora,10.3,-3.03333,B
9861,2363097,Badoré,12.98333,-0.13333,B
9859,2363095,Badougou,11.11667,-0.6166699999999999,B
9884,2363120,Badèdsi,12.49728,1.6027200000000001,B
9883,2363119,Badéma,11.18333,-0.31667,B
9857,2363093,Bafina,13.68314,-0.97362,B
9856,2363092,Baforo,11.03333,-3.1,B
9858,2363094,Bafèlè,14.06579,0.02201,B
9850,2363086,Baga Dombo,14.129270000000002,-1.5926200000000001,B
9835,2363071,Baga Véndou,14.2536,-1.22023,B
9855,2363091,Bagaben,12.8,-0.8,B
10154,2570098,Bagabin,12.10972,-1.51217,B
9547,2362778,Bagabin,12.5441,-1.46853,B
9853,2363089,Bagadogo,11.9,-1.36667,B
9852,2363088,Bagadogo,12.88333,-0.8333299999999999,B
9851,2363087,Bagadogo,12.91665,-1.0333700000000001,B
9508,2362739,Bagadogo,12.61554,-1.3525200000000002,B
